name,rating
Dan Fenyvesi,0
Amanda Sokan,0
Ryan Jones,2
Anna Oleary,2.1
Kathleen O'Brien,2.2
Kathleen Kennedy,2.5
Anna Josephson,2.7
Brandon Marshall,2.7
Peggy Ota,3
Deborah Kaye,3.1
Margaret Wilder,3.3
Luis Coronado Guel,3.4
Lillian Gorman,3.4
Angela Kaczowka,3.6
Thomas Christiano,3.6
Amy Fountain,3.7
Aamir Khan,3.8
Victor Braitberg,3.8
Barry Pryor,3.9
Louise Roth,3.9
Praise Zenenga,4
Andrew Curley,4
Nayel Badareen,4
Victoria Ligon,4
Michael Mckisson,4.1
Tyina Steptoe,4.3
Jeanmarie Bianchi,4.3
Liudmila Klimanova,4.3
Joshua Zimmerman,4.4
Peter Ecke,4.7
Robert Stephan,4.8
Joel Muraco,4.8
Stefano Bloch,4.8
Matthew Ostermeyer,4.8
William Smith,4.8
Benjamin Jens,4.9
Eric Smith,5
Alexander Schweig,5
Stephanie Springer,5
Matthew Lewis,Unknown
Robin Reineke,Unknown
Ruth Jolie,Unknown
Colleen Pepper,Unknown
Orquidea Morales,Unknown
Reid Gomez,Unknown
Gina Chorover,Unknown
Edmund White,Unknown
Robert Wardy,Unknown
Avram Chomsky,Unknown
Justin Bruner,Unknown
