name,rating
Reid Gomez,0.0
Dan Fenyvesi,0.0
Ryan Jones,2.0
Anna Oleary,2.1
Kathleen O'Brien,2.2
Kathleen Kennedy,2.5
Anna Josephson,2.7
Brandon Marshall,2.8
Jennifer Donahue,2.9
Peggy Ota,3.0
Deborah Kaye,3.1
Luis Coronado Guel,3.4
Lillian Gorman,3.4
Thomas Christiano,3.6
Aamir Khan,3.7
Amy Fountain,3.7
Victor Braitberg,3.8
Michael Mckisson,3.9
Barry Pryor,3.9
Louise Roth,3.9
Andrew Curley,4.0
Nayel Badareen,4.0
Tyina Steptoe,4.3
Liudmila Klimanova,4.3
Jeanmarie Bianchi,4.4
Shelby Smith,4.5
Peter Ecke,4.7
Robert Stephan,4.8
Eric Dienstfrey,4.8
Stefano Bloch,4.8
Matthew Ostermeyer,4.8
William Smith,4.8
Joel Muraco,4.9
Benjamin Jens,4.9
Eric Smith,5.0
Robin Reineke,Unknown
Ruth Jolie,Unknown
Gina Chorover,Unknown
Robert Wardy,Unknown
Amanda Sokan,Unknown
Avram Chomsky,Unknown
Justin Bruner,Unknown
