name,rating
Brett Slominski,0
Bryan Wong,0
Derek Martin,0
Tristan Reader,1.8
Laura Tabili,2.3
Jerome Dotson,2.4
Dereka Rushbrook,2.5
Franziska Frank,2.9
Dave Seng,2.9
Martha Moore-Monroy,3.2
Na Zuo,3.3
Mamadou Baro,3.6
Margaret Reimer,3.9
Orhon Myadar,4.4
Shelby Smith,4.5
Joshua Schlachet,4.6
Colleen Lucey,4.7
Quintin Molina,Unknown
Aracely Rivera Cohen,Unknown
Patricia Lebensohn,Unknown
Garrett Smith,Unknown
Dmitriy Nurullayev,Unknown
Antonio Bacelar Da Silva,Unknown
Daniel Sakall,Unknown
Bryn Wells-Edwards,Unknown
Brittni Whitehead,Unknown
Gabrielle Martin,Unknown
Caitlin Brown,Unknown
Allison Weber,Unknown
Isabella Stoutenburg,Unknown
Douglas Wykstra,Unknown
Madeline Gegg,Unknown
Nathania Garcia,Unknown
Babasola Okusanya,Unknown
William Mishler,Unknown
Veronika Williams,Unknown
Anastasia Gordienko,Unknown
